2020
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings
"['More than 2,900 NYCHA Residents Across 16 Manhattan Developments Slated for Comprehensive Repairs and Renovations']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190621.page'],"['developments', 'residents']",[' launched in 2017'],[],"{'2017', '1900', '1974', '2003', '1952', '2023', '2019', '1930', '2012'}",['washington']
['NYCHA Launches Pilot Program to Protect Seniors from Extreme Heat'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190617.page'],"['program', 'heat']",[],[],"{'2023', '2019'}",[]
"['Nearly 2,000 Residents and New Yorkers with Low Incomes File Taxes for Free at NYCHA Locations']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190517.page'],['residents'],[],[],"{'2000', '2008', '2023', '2019', '2014', '2018', '2015'}","['monroe', 'sack wern']"
"['NYCHA Announces Comprehensive Renovations for More Than 6,300 Residents Across 9 Brooklyn Developments']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190516.page'],"['developments', 'residents']",[' launched in 2015'],[],"{'1967', '1900', '2003', '2023', '2019', '2004', '2018', '1949', '2015'}",[]
['NYCHA Engages with Fulton Houses Residents on NYCHA 2.0 Proposals'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190510.page'],"['houses', 'residents']",[' built in 1965'],[],"{'1900', '2023', '2019', '2018', '1965'}","['chelsea', 'chelsea addition', 'fulton']"
['NYCHA Releases RFQs for Community Partners to Join PACT Program'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190412.page'],['program'],[],[],"{'2023', '1900', '2019', '2000'}",[]
['NYCHA Mobilizes Staff for Weekend Maintenance Work Order Blitzes at Seven Developments'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190406.page'],"['work', 'developments']",[],[],"{'2023', '1900', '2019', '2000'}",[]
['NYCHA Releases 2018 End-Of-Year Update on Recovery & Resiliency Progress'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190329.page'],"['resiliency', 'recovery', 'progress']",[],[],"{'1900', '2022', '2023', '2019', '2018', '2012'}","['grant', 'lincoln', 'new lane area']"
"['NYCHA Cares Completes 27,000 Repair Requests for Public Housing Residents']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190325.page'],"['housing', 'repair', 'public', 'residents']",[],[],"{'1900', '2023', '2019', '1920', '2018', '2020'}","['baruch', 'castle hill', 'kingsborough', 'manhattanville', 'parkside', 'pink', 'pomonok', 'queensbridge south', 'wagner']"
['Weekend Maintenance Work Order Blitz to Provide Repairs for Public Housing Residents'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190323.page'],"['housing', 'work', 'public', 'provide', 'residents']",[],[],"{'2023', '1900', '2019'}",[]
['NYCHA Accelerates Lead Testing at Bronx River Houses'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190315.page'],['houses'],[],[],"{'1900', '2023', '1978', '2019', '2018', '2020'}","['bronx river', 'harlem river']"
['NYCHA Continues Weekend Maintenance Work Order Blitzes At Six Developments'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190309.page'],"['work', 'developments']",[],[],"{'2023', '1900', '2019'}",[]
['NYCHA Announces Awards for New Boilders for 11 Developments Across the City'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190307.page'],['developments'],[],[],"{'2023', '1900', '2019', '2022'}",[]
"['NYCHA Activates Situation Room, Increases Staffing in Advance of Anticipated Cold Snap']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190305.page'],['cold'],[],[],"{'2023', '2018', '1900', '2019'}",[]
"['NYCHA Closes Over 7,000 Maintenance Work Orders Through Saturday Blitzes, Continues Initiative This Weekend']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190222.page'],"['work', 'initiative']",[],[],"{'2023', '1900', '2019'}",[]
['New NYCHA Interim Chair Joins Saturday Blitz Effort to Provide Work Order Repairs for Public Housing Residents'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-2019-02-15.page'],"['housing', 'work', 'public', 'provide', 'residents']",[],[],"{'2023', '1900', '2019'}","['grant', 'highbridge gardens', 'lincoln', 'queensbridge south', 'red hook west']"
['NYCHA to Provide Work Order Repairs for Public Housing Residents in Saturday Blitz'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-2019-02-09.page'],"['housing', 'work', 'public', 'provide', 'residents']",[],[],"{'2023', '1900', '2019'}","['chelsea', 'elliott', 'ravenswood', 'red hook east', 'throggs neck']"
['Mayor de Blasio Announces Major Repairs for Eastchester Community Center'],['https://www1.nyc.gov/office-of-the-mayor/news/070-19/mayor-de-blasio-major-repairs-eastchester-community-center#/0'],['center'],[],[],"{'2022', '2000', '2019', '2021', '2014', '2018', '2027'}",['eastchester gardens']
"['Heat Team Readies for Expected Cold Spell with Expanded Heating Staff, Activated Situation Room']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-2019-01-30.page'],"['heating', 'heat', 'team', 'cold', 'expected']",[],[],"{'2023', '1900', '2019'}",[]
['NYCHA Offers Free Tax Prep For Residents And Low-Income New Yorkers'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-2019-01-29.page'],['residents'],[],[],"{'1900', '2023', '2019', '2014', '2015', '2013'}","['monroe', 'morris i', 'sack wern']"
['NYCHA to Deliver Work Order Repairs for Public Housing Residents in Third Saturday Blitz of 2019'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190126.page'],"['housing', 'work', 'public', 'deliver', 'residents']",[],[],"{'2023', '1900', '2019'}","['hammel', 'jefferson', 'marble hill', 'surfside gardens', 'washington', 'webster']"
"['DeBlasio Administration Places NYCHA Residents Into 15,000 Jobs']",['https://www1.nyc.gov/office-of-the-mayor/news/047-19/de-blasio-administration-places-nycha-residents-15-000-jobs'],"['administration', 'residents']",[],[],"{'2014', '2019'}","['brown', 'brownsville']"
"['In Preparation For MLK Holiday Weekend, NYCHA Activates Heating Response Teams And Improved Emergency Response Command Center']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190120.page'],"['heating', 'center', 'emergency', 'improved']",[],[],"{'2023', '1900', '2019'}",[]
['NYCHA to Tackle Work Order Backlog in Second Citywide Saturday Blitz of 2019'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190119.page'],['work'],[],[],"{'2023', '1900', '2019'}","['bay view', 'gompers', 'queensbridge south', 'red hook west', 'sotomayor']"
"[""NYCHA Closes Nearly 1,000 Maintenance Work Orders in 2019's First Saturday Blitz""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190115.page'],['work'],[],[],"{'2023', '1900', '2019', '2000'}","['albany', 'jackson', 'morrisania', 'morrisania air rights', 'wagner']"
"['NYCHA Hails Landmark Ratification of New Work Rules, Seven Day A Week Schedules']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190111.page'],['work'],[],[],"{'2017', '1900', '2023', '2019', '2021', '2018', '2020'}",[]
2018
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings
['NYCHA Heat Team Prepares for Holiday Season with Robust Staffing to Serve Residents'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20181221.page'],"['heat', 'team', 'residents', 'serve']",[],[],"{'2023', '2018', '2020'}",[]
['NYCHA Announces New Safety and Security Upgrades at Manhattan Developments'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20181220.page'],"['developments', 'upgrades']",[],[],"{'2023', '2018'}","['45 allen street', 'gompers', 'grant']"
['NYCHA Tackles More Than 950 Maintenance Work Orders in Second Citywide Saturday Blitz'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20181218.page'],['work'],[],[],"{'2023', '2018', '2020'}","['beach 41st street', 'grant', 'nostrand', 'sedgwick']"
"['Mayor de Blasio and Teamsters Local 237 Announce Tentative Contract Agreement, Implementing New Work Rules and Providing a Fair Wage to More Than 5,000 NYCHA Employees']",['https://www1.nyc.gov/office-of-the-mayor/news/592-18/mayor-de-blasio-teamsters-local-237-tentative-contract-agreement-implementing-new#/0'],"['work', 'agreement']",[],[],"{'2018', '2017', '2021', '1960'}",[]
['Mayor de Blasio Announces Comprehensive Plans to Renovate NYCHA Apartments and Preserve Public Housing'],['https://www1.nyc.gov/office-of-the-mayor/news/591-18/fixing-nycha-mayor-de-blasio-comprehensive-plan-renovate-nycha-apartments-and'],"['housing', 'public', 'preserve']",[],[],"{'2022', '2019', '2014', '2018', '2027', '2028'}","['ingersoll', 'johnson']"
['NYCHA Tackles More Than 800 Maintenance Work Orders in Saturday Blitz'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20181211.page'],['work'],[],[],"{'2023', '2018'}","['baruch', 'kingsborough', 'patterson', 'ravenswood']"
"['Skilled Trades Teams Respond to More Than 13,000 Resident Repair Requests in Round One of NYCHA Cares Initiative']",['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20181207.page'],"['resident', 'repair', 'initiative', 'respond']",[],[],"{'2023', '2018', '2019', '2020'}","['baruch', 'kingsborough', 'manhattanville', 'parkside', 'pink', 'queensbridge south']"
"['In Preparation for Coldest Thanksgiving In Over A Century, NYCHA Activates Additional Heating Response Teams Across the City']",['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20181121.page'],['heating'],[],[],"{'2023', '2018', '1901'}",[]
['NYCHA Celebrates Fall Harvest Festival at Public Housing Farms'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/PR-11-02-2018.page'],"['housing', 'public']",[],[],"{'2000', '2023', '2029', '2018', '2015', '1992'}","['bay view', 'forest', 'howard', 'wagner']"
['NYCHA Recognizes National Domestic Violence Awareness Month at Resident and Staff Events'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20181030.page'],['resident'],[],[],"{'2014', '2018', '2020', '2023'}","['johnson', 'riis']"
"['NYCHA Announces New $104.6 million Energy Contract to Improve Efficiency, Heating at 15 Developments']",['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20181023.page'],"['energy', 'heating', 'efficiency', 'improve', 'developments']",[],[],"{'2016', '2025', '2000', '2023', '2026', '2018', '2015', '2020'}",[]
['De Blasio Administration Announces Heating Improvements for NYCHA Residents in Advance of Winter'],['https://www1.nyc.gov/office-of-the-mayor/news/516-18/de-blasio-administration-heating-improvements-nycha-residents-advance-winter#/0'],"['heating', 'winter', 'administration', 'residents']",[],[],"{'2014', '2018', '2027', '2022'}",[]
['NYCHA Announces Partners to Design Rooftop Solar Gardens for Communities Citywide'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180925.page'],"['gardens', 'design']",[],[],"{'2016', '2025', '2023', '2019', '2018', '2050', '2030', '2020'}","['adams', 'baisley park', 'baruch', 'berry', 'bracetti plaza', 'carver', 'elliott', 'glenwood', 'highbridge gardens', 'howard', 'kingsborough', 'lafayette', 'latimer gardens', 'meltzer tower', 'metro north plaza', 'morris park senior citizens home', 'new lane area', 'ocean hill apartments', 'parkside', 'richmond terrace', 'thomas apartments', 'todt hill', 'wagner', 'wyckoff gardens']"
['NYCHA Honors 23 Public Housing Residents with CUNY Scholarships'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180918.page'],"['housing', 'public', 'residents']",[' launched in 2005'],[],"{'2017', '2023', '2018', '2015', '2005'}","['baruch', 'brown', 'brownsville', 'cypress hills', 'farragut', 'forest', 'gravesend', 'howard', 'kingsborough', 'manhattanville', 'mckinley', 'pelham parkway', 'polo grounds towers', 'queensbridge south', 'richmond terrace', 'rutgers', 'stapleton', 'surfside gardens', 'taft', 'washington', 'woodside', 'wyckoff gardens']"
['NYCHA Calls for Public Housing Residents to Join the NYCHA Board'],['https://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180917.page'],"['housing', 'public', 'residents']",[],[],{'2023'},[]
['NYC Public Housing is Now Smoke-Free'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180730.page'],"['housing', 'public']",[],[],"{'2023', '2018'}","['clinton', 'johnson', 'king towers', 'lehman', 'taft']"
['NYCHA Fills Pivotal Roles as New Leadership Strengthens Executive Team'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180723.page'],['team'],[],[],"{'2023', '2014', '2018', '2010', '2012', '1989', '2005'}",['rutgers']
['NYCHA Cares Kicksoff to Fast Track Specialized Repair Work'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180713.page'],"['work', 'repair']",[],[],"{'2023', '2018', '2019', '2020'}","['kingsborough', 'manhattanville']"
"[""NYCHA, Mayor's Office of Criminal Justice, & DYCD Kick Off Summer with Extended Hours at Community Centers Citywide""]",['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180712.page'],['summer'],[' launched in 2014'],[],"{'2014', '2018', '2023'}",[]
['NYCHA hosts series of NextGeneration NYCHA Resource Fairs to connect residents and fellow New Yorkers to NYCHA and City Resources'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/resource-fair-todt-hill.page'],"['resource', 'nextgeneration', 'residents']",[' started in 2017'],[],"{'2023', '2018', '2010', '2017'}","['astoria', 'fulton', 'johnson', 'marlboro', 'ravenswood', 'sotomayor', 'todt hill']"
"[""Building Healthy Communities: de Blasio Administration Unveils New Urban Farm at NYCHA's Mariners Harbor Houses as Part of Public-Private Partnership to Improve Health and Safety in Neighborhoods""]",['https://www1.nyc.gov/office-of-the-mayor/news/328-18/building-healthy-communities-de-blasio-administration-new-urban-farm-nycha-s-mariners'],"['building', 'houses', 'public', 'improve', 'health', 'partnership', 'administration', 'urban']",[' launched in 2015'],[],"{'2018', '2015'}","['bay view', 'brown', 'brownsville', 'forest', 'grant', 'howard', 'morrisania', 'robinson', 'wagner']"
['NYCHA & HPD Select Developers for New 100 Percent Affordable Housing Development in the Bronx'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180614.page'],"['housing', 'development', 'percent']",[],[' constructed in 1980'],"{'2017', '2022', '2000', '2023', '2026', '2018', '1980'}","['morrisania', 'morrisania air rights']"
"['In Only 8 Hours, NYCHA and KABOOM! Build Community Playground at Bayview Houses']",['http://www1.nyc.gov/site/nycha/about/press/pr-2018/nycha-kaboom-20180609.page'],"['houses', 'build']",[],[],"{'2023', '2018', '2017'}","['bay view', 'pomonok']"
['Innovative Tech Startups to Pilot Health & Safety Improvements at Select NYCHA Buildings'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180515.page'],"['health', 'buildings', 'innovative']",[],[],"{'2023', '2006', '1950'}","['brown', 'brownsville', 'hernandez', 'robinson', 'saratoga village', 'washington']"
"[""Almost 2,000 NYCHA Residents & Lower-Income New Yorkers Received $2.8 Million in Refunds Through NYCHA's Free Tax Prep Program""]",['http://www1.nyc.gov/site/nycha/about/press/pr-2018/nycha-residents-tax-prep-services.page'],"['program', 'residents']",[],[],"{'2017', '2016', '2000', '2023', '1901', '2014', '2015'}",['marcy']
"[""HUD's Proposed Rent Increases""]",['http://www1.nyc.gov/site/nycha/about/press/pr-2018/proposed-rent-increase-2018.page'],['hud'],[],[],{'2023'},[]
['NYCHA Announces New Partnerships to Develop First Commercial Solar Program'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180426.page'],['program'],[],[],"{'2016', '2025', '2023', '2019', '2050', '1960'}","['beach 41st street', 'coney island', 'gowanus', 'pomonok', 'queensbridge north', 'queensbridge south', 'south beach', 'throggs neck', 'throggs neck addition']"
"['NYCHA, DSNY, MOCTO & NYCEDC Announce Winners of the NYCx Co-Lab Challenge to Reduce Waste And Increase Recycling in Brownsville Houses']",['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180423.page'],"['houses', 'reduce', 'challenge', 'waste']",[],[],"{'2017', '2000', '2023', '2030', '2009'}","['adams', 'brown', 'brownsville', 'howard', 'white']"
['NYCHA Expands Solar Access & Green Jobs Through First-Of-Its-Kind Community Solar Gardens Program for Small Buildings'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180420.page'],"['program', 'buildings', 'green', 'gardens']",[],[],"{'2023', '2018', '2016', '2025'}",[]
['Mayor de Blasio Targets Rats for Extermination at 10 NYCHA Developments'],['http://www1.nyc.gov/office-of-the-mayor/news/195-18/mayor-de-blasio-targets-rats-extermination-10-nycha-developments#/0'],['developments'],[],[],"{'2014', '2018', '2017'}","['adams', 'bushwick', 'butler', 'hylan', 'marcy', 'riis']"
['NYCHA Reaches New Settlement Terms with Baez Plaintiffs to Improve Mold Conditions in Public Housing'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/settlement-with-baez-plaintiffs.page'],"['housing', 'public', 'improve']",[],[],"{'2023', '2018', '2017', '2016'}",[]
['Message on the Increased Federal Resources for Affordable & Public Housing'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/chair-statement-20180323.page'],"['housing', 'public']",[],[],"{'2023', '2018'}",['grant']
"['Ahead of Massive Repairs Coming to Independence & Williams Plaza, NYCHA Launches Resident Engagement']",['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180328.page'],"['resident', 'plaza']",[' launched in 2016'],[],"{'2016', '1998', '2023', '2018', '1960'}",[]
['NYCHA Launches Updated Heating Dashboard and New Map Features for Improved Transparency'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180313.page'],"['heating', 'improved']",[],[],"{'2023', '2018', '2016', '2015'}","['adams', 'grant']"
['De Blasio Administration Announces New Measures to Expedite NYCHA Heating System Upgrades By Up to 20 Months'],['https://www1.nyc.gov/office-of-the-mayor/news/124-18/de-blasio-administration-new-measures-expedite-nycha-heating-system-upgrades-up-to'],"['heating', 'system', 'administration', 'upgrades']",[],[],"{'2014', '2018', '2027', '2022'}",['grant']
['Open Letter to Residents from NYCHA Chair & CEO Shola Olatoye'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/pr-20180302.page'],['residents'],[],[],"{'2023', '2018'}",[]
['NYCHA & HPD Release a Request for Proposals to Develop a New Mixed-Income Building at La Guardia Houses'],['http://www1.nyc.gov/site/nycha/about/press/pr-2018/NEW-MIXED-INCOME-BUILDING-AT-LA-GUARDIA-HOUSES.page'],"['building', 'houses', 'release']",[],[],"{'2017', '2022', '2000', '2023', '2026', '2018'}","['la guardia', 'la guardia addition']"
